"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C44","LC-0603_C","1950mil","3064.999mil","1950mil","3065mil","1950mil","3095.314mil","T","270.00","100nF"
"C43","LC-0603_C","2990mil","295.001mil","2990mil","295mil","2990mil","325.316mil","T","270.00","100pF"
"C42","LC-0603_C","3105mil","295.001mil","3105mil","295mil","3105mil","264.686mil","T","90.00","100pF"
"C41","LC-0603_C","3730.001mil","2280mil","3730mil","2280mil","3760.316mil","2280mil","T","180.00","100nF"
"C1","CAP10X12.5","2090mil","970mil","2090mil","970mil","1991.574mil","970mil","T","0.00","220uF/35V"
"C2","LC-0603_C","2030.001mil","1240mil","2030mil","1240mil","2060.316mil","1240mil","T","180.00","100nF"
"C3","LC-0603_C","654.999mil","1675mil","655mil","1675mil","685.314mil","1675mil","T","180.00","10uF/10V"
"C4","LC-1210_C","3360mil","3350mil","3360mil","3350mil","3360mil","3291.93mil","T","90.00","100nF"
"C5","LC-1210_C","3360mil","2640mil","3360mil","2640mil","3360mil","2581.93mil","T","90.00","100nF"
"C6","LC-0603_C","655.001mil","1595mil","655mil","1595mil","685.316mil","1595mil","T","180.00","100nF"
"C7","LC-0603_C","769.685mil","2015mil","769.686mil","2015mil","739.37mil","2015mil","T","360.00","10uF/10V"
"C8","LC-0603_C","1835mil","1635.001mil","1835mil","1635mil","1835mil","1665.316mil","T","270.00","100nF"
"C9","LC-CASE-B_3528","1995.001mil","1605mil","1995mil","1605mil","2054.056mil","1605mil","T","360.00","10uF"
"C11","LC-0603_C","515mil","1455mil","515mil","1455mil","515mil","1485.315mil","T","270.00","100nF"
"C12","LC-0603_C","515mil","1085mil","515mil","1085mil","515mil","1115.315mil","T","270.00","100nF"
"C13","LC-0603_C","980.001mil","460mil","980mil","460mil","1010.316mil","460mil","T","180.00","100pF"
"C14","LC-0603_C","2005mil","2765.001mil","2005mil","2765mil","2005mil","2795.316mil","T","270.00","100nF"
"C15","LC-0603_C","2090mil","2765.001mil","2090mil","2765mil","2090mil","2734.686mil","T","90.00","100nF"
"C16","LC-0603_C","1325.001mil","1970mil","1325mil","1970mil","1294.686mil","1970mil","T","360.00","100nF"
"C17","LC-0603_C","1270.001mil","465mil","1270mil","465mil","1300.316mil","465mil","T","180.00","100pF"
"C18","LC-0603_C","515mil","1275mil","515mil","1275mil","515mil","1305.315mil","T","270.00","100nF"
"C19","LC-0603_C","515mil","895mil","515mil","895mil","515mil","925.315mil","T","270.00","100nF"
"C20","LC-0603_C","980mil","1070.001mil","980mil","1070mil","980mil","1039.686mil","T","90.00","100nF"
"C21","LC-0603_C","2000mil","3255.001mil","2000mil","3255mil","2000mil","3224.686mil","T","90.00","100nF"
"C22","LC-0603_C","2090mil","3255.001mil","2090mil","3255mil","2090mil","3285.316mil","T","270.00","100nF"
